sku,loja_sync,last_update,id_bling,nome_bling,situacao_bling,ncm_bling,saldo_loja,saldo_full
3007,Dona Nina,05/05/2026 15:16,16455152278,Soldador de Reparo de Plástico,A,,0.0,97.0
3006,Dona Nina,05/05/2026 15:16,16455138656,SKU VAGO,A,,0.0,0.0
3005,Dona Nina,05/05/2026 15:16,16453844911,Verificador de Diamantes,A,,0.0,96.0
3004,Dona Nina,05/05/2026 15:16,16453843940,Maçaneta Tampa Traseira,A,,2.0,100.0
3003,Dona Nina,05/05/2026 15:16,16453841237,Comutador Eletr Ignição Partida Trava Direção,A,,12.0,107.0
3002,Dona Nina,05/05/2026 15:16,16453839542,Medidor De Consumo Potência Tensão Corrente Tomada Elétrica 110V/220V,A,,2.0,98.0
3001,Dona Nina,05/05/2026 15:16,16453835071,Mangueira Tubo Duplo De Combustível 2.3 Multijet,A,,0.0,100.0
1108,Dona Nina,05/05/2026 15:16,16365704644,Ponta de transmissão para roçadeira 9 estrias tubo 28mm,A,,0.0,91.0
2103,Dona Nina,05/05/2026 15:16,16365699662,COMMERCIAL INVOICE 4 loja 2 Tradução COMMERCIAL INVOICE 4 loja 2 Tradução 100% 8 E64  Trocador de calor de óleo,A,,0.0,100.0
2102-2,Dona Nina,05/05/2026 15:16,16365697612,Maçaneta da porta lateral deslizante com base externa,A,,32.0,125.0
2101,Dona Nina,05/05/2026 15:16,16365696805,Reservátorio de água do radiador com tampa,A,,0.0,99.0
2100,Dona Nina,05/05/2026 15:16,16365695587,Termômetro Digital para freezer Max Min Cabo Externo Interno 1 M,A,,1.0,99.0
2099,Dona Nina,05/05/2026 15:16,16365694118,Tambor de embreagem 28mm 9 estrias 43/52cc cortador de roçadeira,A,,0.0,93.0
2098,Dona Nina,05/05/2026 15:16,16365692544,Cabo do acelerador do cabo do gatilho tubo da roçadeira 19mm universal,A,,0.0,98.0
2097,Dona Nina,05/05/2026 15:16,16365690090,Batente de porta magnético escovado,A,,0.0,113.0
2096,Dona Nina,05/05/2026 15:16,16365682309,Módulo de bobina de ignição para cortador de grama,A,,28.0,100.0
1099-k,Dona Nina,05/05/2026 15:16,16339078494,Par Pisca Seta Retrovisor Kia Sorento,A,,4.0,112.0
2095,Dona Nina,05/05/2026 15:16,16295710714,Carburador Completo Roçadeira Honda Umk 435 Gx25 Gx35,A,,1.0,92.0
2094,Dona Nina,05/05/2026 15:16,16295708319,Carburador Para Motosserra Stihl Modelo 361 Ms361,A,,0.0,94.0
2093,Dona Nina,05/05/2026 15:16,16295706275,Carburador Para Soprador Stihl Bg56 Bg86,A,,0.0,94.0
2092,Dona Nina,05/05/2026 15:16,16295705060,Eixo Do Came P/ Martelete Hr2470 Original Makita - 324668-1,A,,61.0,114.0
2091,Dona Nina,05/05/2026 15:16,16295703742,Eixo Peças # 41 Ao #52 Martelete Makita Hr2470,A,,0.0,98.0
2090,Dona Nina,05/05/2026 15:16,16295701802,Carburador Cpl Roçadeira Husqvarna 128r Rj P1500 Original,A,,0.0,99.0
2089,Dona Nina,05/05/2026 15:16,16295692466,"Endoscopio Boroscopio Camera 1080p Inspeção Tela 4.3 Hd """,A,,1.0,100.0
2051-k,Dona Nina,05/05/2026 15:16,16281098552,"2 Medidores Fluxo Digital Hidrômetro, Diesel, Químicos Etc.",A,,0.0,50.0
1095/1098,Dona Nina,05/05/2026 15:16,16265791818,carburador completo virago com coletor (1098+1095),A,,6.0,104.0
1020-K,Dona Nina,05/05/2026 15:16,16258840179,Par Lanterna Refletor Parachoque Compass 2017 2018 Jeep Original,A,,58.0,92.0
2078-K,Dona Nina,05/05/2026 15:16,16258835135,Par Pisca Retrovisor Hyundai Ix35 Importado Novo,A,,0.0,92.0
2088,Dona Nina,05/05/2026 15:16,16240452653,Resistência Elétrica Sauna Vapor Sodramar 6/9/12kw,A,,50.0,98.0
2087,Dona Nina,05/05/2026 15:16,16240450056,Caneta Teste Testador Fluído Freios Para Dot 3 4 5 Sem Pilha,A,,71.0,100.0
2086,Dona Nina,05/05/2026 15:16,16240418607,Botão Retrovisor Elétrico Saveiro 2008 2009 2010 2011 2012,A,,0.0,102.0
2085,Dona Nina,05/05/2026 15:16,16240410124,Bafômetro Etilômetro Digital Portátil Lcd Medidor Álcool Nfe,A,,54.0,108.0
2084,Dona Nina,05/05/2026 15:16,16240405592,Chave Corta Circuito Cordão Motor De Popa E Jet Ski Yamaha,A,,0.0,0.0
2083,Dona Nina,05/05/2026 15:16,16240387210,Carretel Nylon Roçadeira 236r 143rii Husqvarna T35 M12 Cor Preto,A,,0.0,92.0
2051-10k,Dona Nina,05/05/2026 15:16,16215555698,"10 Medidores Fluxo Digital Hidrômetro, Diesel, Químicos Etc.",A,,0.0,10.0
2079,Dona Nina,05/05/2026 15:16,16167852020,Botão Vidro Elétrico Passageiro Jetta Passat Tiguan Amarok,A,,0.0,100.0
2082,Dona Nina,05/05/2026 15:16,16155775154,Embreagem Roçadeira Husqvarna 226 / Nakashi Tu-26 - Completa,A,,0.0,94.0
2081,Dona Nina,05/05/2026 15:16,16155766492,Buzzer Sirene Sensor Ré Fox Jetta Amarok Gol Passat Cc Golf,A,,0.0,95.0
2080,Dona Nina,05/05/2026 15:16,16155735956,Sensor Temperatura Externa Agile Astra Corsa Vectra Zafira,A,,0.0,96.0
1160-1k,Dona Nina,05/05/2026 15:16,16149338289,2 Unidades Bastão Alcalinizante Ionizador De Àgua,A,,0.0,59.0
2078,Dona Nina,05/05/2026 15:16,16111783750,Pisca Retrovisor Hyundai Ix35 Lado Direito Importado Novo,A,,0.0,0.0
1167-2-10K,Dona Nina,05/05/2026 15:16,16095536076,PAGER RETEKES Chamador Wireless COR:BRANCO,A,,0.0,0.0
1167-1-10k,Dona Nina,05/05/2026 15:16,16095521755,PAGER RETEKES Chamador Wireless,A,,0.0,0.0
2077,Dona Nina,05/05/2026 15:16,16077863169,Cambagem - Ferramenta Magnética - Alinhador Universal,A,,1.0,97.0
2070,Dona Nina,05/05/2026 15:16,16077809814,Break Light Jeep Renegade 2015 2016 2017 2018 2019,A,,1.0,89.0
2072,Dona Nina,05/05/2026 15:16,16074852013,"Luva, Empunhadura, Grip Tático Para Pistolas Taurus Pt24",A,,0.0,0.0
2073,Dona Nina,05/05/2026 15:16,16074685832,Tarrachas Em Linha P/ Guitarra Com Travas Padrão Eua,A,,44.0,103.0
2071,Dona Nina,05/05/2026 15:16,16074639561,Bobina Ignição Jet Sky Yamaha Vx 1000 E Vx1100,A,,22.0,101.0
2061,Dona Nina,05/05/2026 15:16,16074605386,Mangueira Do Filtro De Ar Vectra 94/95/96 2.0 8v 90324550,A,,5.0,105.0
2062,Dona Nina,05/05/2026 15:16,16069426782,Mangueira Filtro Ar New Civic 1.8 12 À 2015 Hrv 1.8 16/2018,A,,0.0,100.0
2069,Dona Nina,05/05/2026 15:16,16067504074,Válvula Termostática Hyundai Creta Hb20 I30 Veloster Kiasoul,A,,122.0,103.0
2064,Dona Nina,05/05/2026 15:16,16065041518,Maquina Spa Facial Vapor Ozônio Limpeza Da Pele E Capilar,A,,0.0,0.0
2055,Dona Nina,05/05/2026 15:16,16064853904,Rotulador Manual Tex Preto Rotuladora Etiquetadora E101,A,,2.0,96.0
2059,Dona Nina,05/05/2026 15:16,16057606288,Mira Laser P/ Airsoft 11 Ou 20 Mm Com Bateria Pronta Entrega,A,,0.0,154.0
1164,Dona Nina,05/05/2026 15:16,16056384234,Caneta Limpeza De Conectores Ópticos Fibra Optica Lc 1.25mm,A,,0.0,100.0
1167,Dona Nina,05/05/2026 15:16,16056373205,PAGER RETEKES Chamador Wireless,A,,0.0,0.0
1155,Dona Nina,05/05/2026 15:16,16055439282,Colimador Laser Aferidor Mira 22 Até 50 Bore Sigh,A,,164.0,87.0
1067,Dona Nina,05/05/2026 15:16,16053474717,Botão Chave Comando Manche Power Trim Motor Popa Yamaha,A,,105.0,113.0
1171,Dona Nina,05/05/2026 15:16,16052552455,Acabamento Parabrisa Dianteiro Original Hyundai I30 Cw,A,,0.0,0.0
2057,Dona Nina,05/05/2026 15:16,16049054781,2057 - Medidor De Umidade De Madeira Display Lcd Digital Mt-10g,A,,1.0,109.0
2054,Dona Nina,05/05/2026 15:16,16046906116,Medidor Digital Ph 4x1 Solo Plantas Umidade Termômetro H3590,A,,0.0,100.0
2052,Dona Nina,05/05/2026 15:16,16046874581,Medidor Digital De Fluxo Vazão Água/diesel/arla 32/químicos.,A,,0.0,97.0
2056,Dona Nina,05/05/2026 15:16,16046762994,Leitor Bolso Código De Barras Scanner Verde,A,,0.0,96.0
2058,Dona Nina,05/05/2026 15:16,16046692364,2058 - Medidor Digital 5 Em 1 Ph Salinidade Tds Ec Temp M4258,A,,6.0,113.0
2051,Dona Nina,05/05/2026 15:16,16046618287,"Medidor Fluxo Digital Hidrômetro, Diesel, Químicos Etc.",A,,0.0,101.0
1114,Dona Nina,05/05/2026 15:16,16046549218,Kit Bomba De Óleo C/ Engrenagem Motosserra Stihl 038/380/381,A,,38.0,112.0
2050,Dona Nina,05/05/2026 15:16,16046199107,Goniômetro Transferidor Medidor Ângulo Digital 20cm Aço Inox,A,,95.0,158.0
2049,Dona Nina,05/05/2026 15:16,16046171522,Botão Interruptor Vidro Elétrico Sandero Duster Logan,A,,0.0,100.0
1160-1,Dona Nina,05/05/2026 15:16,16045561498,Bastão Ionizador Vara Alcalinizante Água Alcalina menor,A,,0.0,118.0
1044,Dona Nina,05/05/2026 15:16,16045551951,Módulo Obd Automação Do Vidro Teto Chevrolet Cruze Ate 2014,A,,0.0,96.0
1010,Dona Nina,05/05/2026 15:16,16044207312,Bico Injetor Ssangyoung Actyon E Kyron 2.0 16v N,A,,0.0,100.0
1099,Dona Nina,05/05/2026 15:16,16043981668,Pisca Seta Retrovisor Kia Sorento,A,,0.0,0.0
1129,Dona Nina,05/05/2026 15:16,16043372913,Horimetro Moto Trilha Enduro Motocross Crf Ktm Kx Yz Xr Xtz,A,,0.0,0.0
1030,Dona Nina,05/05/2026 15:16,16043364981,Fecho Cinto Seguranca C/chicote E Sensor Mz2032s Mz2008ef,A,,49.0,112.0
1096,Dona Nina,05/05/2026 15:16,16043364233,Carburador P/ Yamaha Jog 49cc 50cc 2t,A,,32.0,104.0
1163,Dona Nina,05/05/2026 15:16,16043360270,Chamador Wireless Sem Filas Restaurantes Bares C/ 16 Fichas sem antena,A,,0.0,0.0
1051,Dona Nina,05/05/2026 15:16,16043356602,GERADOR DE OZONIO 110V,A,,2.0,105.0
1013,Dona Nina,05/05/2026 15:16,16033634037,Maçaneta Interna Mercedes C180 C250 C230 C280X',A,,0.0,0.0
1095,Dona Nina,05/05/2026 15:16,16033618011,Coletor Admissão Virago Xv250 Kansas V-blade,A,,6.0,116.0
1098,Dona Nina,05/05/2026 15:16,16033608725,Carburador Completo Virago 250 V-blade 250 Kansas Furia,A,,35.0,104.0
1144,Dona Nina,05/05/2026 15:16,16033599801,Comando Botão Interruptor Vidro Eletrico S10 Blaser 95/2011,A,,0.0,97.0
1102,Dona Nina,05/05/2026 15:16,16033597013,Atuador Roda Livre Mitsubishi 4x4 Pajero Io / Tr4 / Mr399264,A,,0.0,99.0
1055,Dona Nina,05/05/2026 15:16,16033591180,Bomba De Combustível Retroescavadeira Caterpillar 416e,A,,13.0,105.0
1062,Dona Nina,05/05/2026 15:16,16033577659,Kit Reparo Carburador Virago Vx 250 Pistonetes E Jet Kit,A,,0.0,100.0
1059,Dona Nina,05/05/2026 15:16,16032929420,Suporte Porta Copo Mercedes Benz C180 C200 C250 Glc200 W205,A,,0.0,0.0
1117,Dona Nina,05/05/2026 15:16,16032926918,Sensor Temperatura Ar Condicionado Tucson 97143-1m000,A,,0.0,100.0
1152,Dona Nina,05/05/2026 15:16,16032910678,Equalizador 5 Bandas Viola E Violâo Captador Equalisador,A,,115.0,155.0
1150,Dona Nina,05/05/2026 15:16,16032902943,Carrinho Stunt Rc Relógio Gestos De Mão Sensor Acrobático,A,,0.0,0.0
1027,Dona Nina,05/05/2026 15:16,16032900522,Botão Comando Vidro Elétrico Mercedes-benz,A,,39.0,100.0
1090,Dona Nina,05/05/2026 15:16,16032889179,"Acelerador (punho) Bicicleta , Scooter",A,,0.0,99.0
1025,Dona Nina,05/05/2026 15:16,16032886536,Tampa Combustivel Caterpillar 416e 924h 216b 2010330 3043885,A,,35.0,109.0
1093,Dona Nina,05/05/2026 15:16,16025200719,Bomba De Gasolina Combustível Vacuo Mikuni Kart Moto,A,,0.0,100.0
1005-K,Dona Nina,05/05/2026 15:16,16025179591,par Soquete Tr4 Lampada Farol Mitsubishi Pajero,A,,91.0,63.0
2048,Dona Nina,05/05/2026 15:16,16010647508,Filtro De Ar Honda Trx Fourtrax Rancher 420cc 2007 A 2013,A,,10.0,107.0
1022-K,Dona Nina,05/05/2026 15:16,16000933773,Par De Guias Do Farol Honda Hr-v 2016 - 2018,A,,44.0,100.0
1148,Dona Nina,05/05/2026 15:16,16000928816,Comando Botão Do Vidro Elétrico Vectra A 93 94 95 96,A,,0.0,104.0
1121,Dona Nina,05/05/2026 15:16,16000926034,Carburador Compatível Motosserra Stihl Ms170 Ms180 Mod. Zama,A,,3.0,98.0
1111,Dona Nina,05/05/2026 15:16,16000921588,Carburador Roçadeira Stihl Fs75 Fs80 Fs85 Fr85,A,,2.0,117.0
1110,Dona Nina,05/05/2026 15:16,16000919855,Vela Os N 8 Automodelos E Aeromodelos Glow Plug Original,A,,0.0,100.0
1109,Dona Nina,05/05/2026 15:16,16000913971,Reparo Carburador Roçadeira Stihl Modelo Zama Fs160/220//,A,,0.0,110.0
1078,Dona Nina,05/05/2026 15:16,16000908892,Reservatório Direção Hidráulica Honda Civic 2001 Ate 2006,A,,111.0,104.0
1077,Dona Nina,05/05/2026 15:16,16000906403,Caneta Para Limpeza Sc Conectores Ópticos Fibra Optica 2.5m,A,,265.0,110.0
1063,Dona Nina,05/05/2026 15:16,16000903702,Interruptor Botao Comando Vidro Retrovisor Peugeot 206 207,A,,0.0,93.0
1043,Dona Nina,05/05/2026 15:16,16000901568,Sensor Temperatura Externa Peugeot 2008 3008 208 308,A,,0.0,100.0
1041,Dona Nina,05/05/2026 15:16,16000899414,Bomba Universal Gasolina Diesel Trator Lancha - 3.6 Psi 12v,A,,145.0,142.0
1033,Dona Nina,05/05/2026 15:16,16000850607,Botão Comando Do Vidro Elétrico Mercedes Benz C180/c200,A,,40.0,103.0
1008,Dona Nina,05/05/2026 15:16,16000841188,mangueira radiador pegeot c4,A,,16.0,108.0
1048,Dona Nina,05/05/2026 15:16,16000831740,100 Folhas Comestivel Bolos Bebidas Artesanato 9 X 9cm,A,,0.0,0.0
1020,Dona Nina,05/05/2026 15:16,16000817298,Lanterna Refletor Parachoque Compass 2017 2018 Jeep Original,A,,0.0,0.0
1119,Dona Nina,05/05/2026 15:16,16000805074,Valvula Vvt Solenoide Pressão Óleo I30 Tucson Sportage 2.0,A,,46.0,122.0
1005,Dona Nina,05/05/2026 15:16,16000793832,Soquete Tr4 Lampada Farol Mitsubishi Pajero Tr4 33116sd4961,A,,182.0,126.0
1023,Dona Nina,05/05/2026 15:16,16000787855,Reservatório Direção Hidráulica Honda New Civic 2007 / 2011,A,,34.0,114.0
1054,Dona Nina,05/05/2026 15:16,16000783205,Avr Sx460 Regulador Módulo Gerador Tensão,A,,4.0,118.0
2041,Dona Nina,05/05/2026 15:16,16000597796,Calibrador De Pneus Portátil 12 Volts Digital Compressor Ar,A,,0.0,0.0
2022,Dona Nina,05/05/2026 15:16,16000335657,Lâmpada Projetor Epson X24 X24+ S18 X18 X17 S17 Elplp78 Case,A,,244.0,146.0
2023,Dona Nina,05/05/2026 15:16,16000331244,"Cortador De Isopor, Acetato, Espuma Elétrico Lamina 15cm Nfe",A,,0.0,129.0
2024,Dona Nina,05/05/2026 15:16,16000330226,Lâmpada Projetor Sony C-162 Vpl-es3 Vpl-es4 Vpl-ex3 Vplex4,A,,68.0,106.0
2027,Dona Nina,05/05/2026 15:16,16000327183,"Cortador De Isopor, Acetato, Espuma Elétrico Lamina 10cm Nfe",A,,83.0,124.0
2028,Dona Nina,05/05/2026 15:16,16000326254,Alto Falante Macbook Retina A1502 2013 2014 2015 Speaker,A,,0.0,121.0
2029,Dona Nina,05/05/2026 15:16,16000324725,Comando Botão Vidro Dianteiro Jac J3 2010 2011 2012 2013,A,,147.0,123.0
2031,Dona Nina,05/05/2026 15:16,16000322886,Mini Rádio Digital Am/fm Estéreo Portátil Com Fone De Ouvido,A,,0.0,0.0
2032,Dona Nina,05/05/2026 15:16,16000320474,Captador + Eq. 4 Bandas - Eq 7545r P/ Violão Aço Ou Nylon,A,,138.0,114.0
2034,Dona Nina,05/05/2026 15:16,16000317258,Captador De Contato Piezo Cristal Violão Viola Ukulele,A,,0.0,132.0
2038,Dona Nina,05/05/2026 15:16,16000303972,"Manopla P/ Harley Sportster 883,xr1200 Touring Dyna Softail",A,,1.0,101.0
2014,Dona Nina,05/05/2026 15:16,16000300968,Sistema Keyless Startstop Universal Com 2 Chaves Chip Alarme,A,,6.0,120.0
2011,Dona Nina,05/05/2026 15:16,16000297191,Sino Budista Para Meditação - Tigela Budista Ioga,A,,0.0,89.0
2009,Dona Nina,05/05/2026 15:16,16000295639,Teste Analisador De Bateria Cca Konnwei Kw208 Portugues,A,,11.0,143.0
2007,Dona Nina,05/05/2026 15:16,16000292896,Chave Regulagem Carburador Motor 2 tempos,A,,0.0,96.0
2005,Dona Nina,05/05/2026 15:16,16000285095,Lanterna Mitsubishi Asx 2010 a 2019,A,,0.0,0.0
2004,Dona Nina,05/05/2026 15:16,16000283089,Lanterna Parachoque Re Refletor Pajero Dakar Ou Sport 10-19,A,,0.0,0.0
2000,Dona Nina,05/05/2026 15:16,16000272644,Moldura Neblina Milha Grade Mitsubish Outlander 2014 2015,A,,0.0,0.0
2064-2,Dona Nina,05/05/2026 15:16,16252500711,Maquina Spa Facial Vapor Ozônio Limpeza Da Pele E Capilar Maquina Spa Facial Vapor Ozônio Limpeza Da Pele E Capilar 220v,A,,0.0,105.0
2064-1,Dona Nina,05/05/2026 15:16,16252351380,Maquina Spa Facial Vapor Ozônio Limpeza Da Pele E Capilar Maquina Spa Facial Vapor Ozônio Limpeza Da Pele E Capilar 110v,A,,1.0,102.0
2078-2,Dona Nina,05/05/2026 15:16,16194805398,Pisca Retrovisor Hyundai Ix35 Lado Direito Importado Novo Pisca Retrovisor Hyundai Ix35:LADO ESQUERDO,A,,68.0,92.0
2078-1,Dona Nina,05/05/2026 15:16,16194805397,Pisca Retrovisor Hyundai Ix35 Lado Direito Importado Novo Pisca Retrovisor Hyundai Ix35:LADO DIREITO,A,,0.0,107.0
2072-1,Dona Nina,05/05/2026 15:16,16107858832,"Luva, Empunhadura, Grip Tático Para Pistolas Taurus Pt24 COR:PRETO",A,,0.0,124.0
2072-16,Dona Nina,05/05/2026 15:16,16104671685,"Luva, Empunhadura, Grip Tático Para Pistolas Taurus Pt24 COR:VERDE ESCURO",A,,31.0,123.0
1013-1,Dona Nina,05/05/2026 15:16,16048436066,Maçaneta Interna Mercedes C180 C250 C230 C280X' DIREITA,A,,0.0,100.0
1099-2,Dona Nina,05/05/2026 15:16,16043990561,Pisca Seta Retrovisor Kia Sorento LADO:ESQUERDO,A,,4.0,113.0
1099-1,Dona Nina,05/05/2026 15:16,16043990552,Pisca Seta Retrovisor Kia Sorento LADO:DIREITO,A,,8.0,112.0
1020-2,Dona Nina,05/05/2026 15:16,16000857196,Lanterna Refletor Parachoque Compass 2017 2018 Jeep Original LADO:ESQUERDO,A,,58.0,92.0
1020-1,Dona Nina,05/05/2026 15:16,16000857181,Lanterna Refletor Parachoque Compass 2017 2018 Jeep Original LADO:DIREITO,A,,71.0,99.0
1048-30,Dona Nina,05/05/2026 15:16,16000837741,100 Folhas Comestivel Bolos Bebidas Artesanato 9 X 9cm cor:OURO,A,,101.0,166.0
