cofins,erro,fonte_cofins,fonte_ii,fonte_ipi,fonte_pis,ii,ipi,ncm,ncm_formatado,observacoes,override,pis,produto_exemplo,qtd_produtos,regra_pis_cofins,sku_exemplo,status
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",16.0,11.7,40169990,4016.99.90,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Automatic Transmission Shift Lever for Vehicle,1,autopecas_3_12_14_37,19-1,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,9.0,3.25,44101919,4410.19.19,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,WALL PANEL,2,geral_2_10_9_65,433-1,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,26.0,0.0,58079000,5807.90.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,,1,geral_2_10_9_65,60-K4,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,16.2,5.2,82075011,8207.50.11,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Spiral drill bit for soil drilling,1,geral_2_10_9_65,357,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",16.0,6.5,83012000,8301.20.00,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Front Right Door Outer Handle for Vehicle,7,autopecas_3_12_14_37,198-1,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,14.4,9.75,83030000,8303.00.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Mini safe holds keys,1,geral_2_10_9_65,445,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",16.0,3.25,84099115,8409.91.15,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Vehicle Intake Manifold,1,autopecas_3_12_14_37,439,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",16.0,3.25,84099118,8409.91.18,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Carburador,2,autopecas_3_12_14_37,411,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",16.0,3.25,84099915,8409.99.15,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Valve for vehicle vacuum intake manifold,1,autopecas_3_12_14_37,281,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,0.0,84123110,8412.31.10,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Hydraulic Actuator Cylinder for vehicle,1,geral_2_10_9_65,319,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",18.0,3.25,84133010,8413.30.10,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Motorcycle Fuel Pump,11,autopecas_3_12_14_37,12,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",18.0,3.25,84133020,8413.30.20,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Fuel pump for outboard engines,1,autopecas_3_12_14_37,382,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",18.0,3.25,84133030,8413.30.30,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Vehicle power steering pump,1,autopecas_3_12_14_37,450,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",18.0,3.25,84133090,8413.30.90,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Vehicle thermostatic valve housing with sensor,3,autopecas_3_12_14_37,307-1,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,3.25,84137010,8413.70.10,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,12v Submersible Pump for water and oil,1,geral_2_10_9_65,460,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,0.0,84138100,8413.81.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Water pump DC 24V,1,geral_2_10_9_65,78,ok
10.25,,Simulador oficial Siscomex/RFB — COFINS-Importação geral com adicional vigente em 2026,Simulador oficial Siscomex/RFB — validado em 28/04/2026,TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Simulador oficial Siscomex/RFB — regra geral PIS-Importação,20.0,0.0,84138200,8413.82.00,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Correção exata validada pelo simulador oficial em 28/04/2026. Correção exata validada pelo simulador oficial em 28/04/2026.,True,2.1,Water pump DC 12V,1,override_exato,79,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,0.0,84141000,8414.10.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Air Control Valve,2,geral_2_10_9_65,199,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,3.25,84149034,8414.90.34,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Pressure regulating valve,3,geral_2_10_9_65,137,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,9.75,84189900,8418.99.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Vehicle cylinder head water flange,1,geral_2_10_9_65,327,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,14.0,3.25,84199090,8419.90.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Air outlet diffuser for the vehicle's rear center console,1,geral_2_10_9_65,326,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",16.0,5.2,84212300,8421.23.00,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Vehicle oil filter,1,autopecas_3_12_14_37,353,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,0.0,84212990,8421.29.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Fuel filter for vehicle,1,geral_2_10_9_65,341,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",16.0,5.2,84213100,8421.31.00,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Vehicle air conditioning filter cover,1,autopecas_3_12_14_37,324,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",12.6,0.0,84213990,8421.39.90,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Activated carbon reservoir for vehicle,2,autopecas_3_12_14_37,190,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,14.0,0.0,84248229,8424.82.29,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Foam water gun,1,geral_2_10_9_65,256,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,3.25,84249090,8424.90.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Pair Front windshield washer nozzle,1,geral_2_10_9_65,297-K,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,14.4,0.0,84251910,8425.19.10,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Manual Hoist - 1 Ton - 10 Meters,1,geral_2_10_9_65,446,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,14.0,0.0,84253110,8425.31.10,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,2 remote controls 1 receiver for crane,1,geral_2_10_9_65,443,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,3.25,84314923,8431.49.23,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Fuel tank cap,1,geral_2_10_9_65,002,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,14.4,3.25,84339010,8433.90.10,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,,23,geral_2_10_9_65,412,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,14.0,5.2,84678900,8467.89.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Double U type vibrator,1,geral_2_10_9_65,126,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,0.0,15.0,84719014,8471.90.14,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Water and iron pipe detector scanner,2,geral_2_10_9_65,129,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,10.8,15.0,84733042,8473.30.42,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Vehicle fan module,1,geral_2_10_9_65,173,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",12.6,0.0,84811000,8481.10.00,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,,1,autopecas_3_12_14_37,309.1,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",12.6,0.0,84812090,8481.20.90,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Seat valve kit,1,autopecas_3_12_14_37,286,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",12.6,0.0,84813000,8481.30.00,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Horizontal check valve 3/4,5,autopecas_3_12_14_37,464,ok
14.37,,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,"Lei 10.865/2004 art. 8º, § 9º-A — autopeças",12.6,0.0,84814000,8481.40.00,Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra majorada de autopeças aplicada por NCM explícito/conservador para importador não fabricante. Confirmar descrição/destinação nos Anexos I/II da Lei 10.485/2002 e eventual adicional de COFINS.,False,3.12,Pair of 90º sport valves adapted for motorcycle tires.,2,autopecas_3_12_14_37,169-K,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,16.2,0.0,84818019,8481.80.19,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Motorcycle fuel tap,2,geral_2_10_9_65,192,ok
