ncm,descricao,ii_antigo,ipi_antigo,pis_antigo,cofins_antigo,ii_novo,ipi_novo,pis_novo,cofins_novo,pis_cofins_regra,alterado
85332190,Outras,16.0,16.0,2.1,9.65,16.0,6.5,2.1,10.25,geral_2_10_10_25,True
85334091,"Potenciômetro de carvão, do tipo utilizado para determinar o ângulo de abertura da borboleta, em sistemas de injeção de combustível controlados eletronicamente",0.0,16.0,2.1,9.65,0.0,6.5,2.1,10.25,geral_2_10_10_25,True
85351000,Fusíveis e corta-circuitos de fusíveis,16.0,16.0,2.1,9.65,14.4,0.0,2.1,10.25,geral_2_10_10_25,True
85353019,Outros,16.0,16.0,2.1,9.65,16.0,3.25,2.1,10.25,geral_2_10_10_25,True
85364100,Para uma tensão não superior a 60 V,16.0,14.4,2.1,9.65,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
85365090,Do tipo utilizado em residências,20.0,9.75,2.1,9.65,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
85369090,Outros,20.0,9.75,2.1,9.65,16.0,9.75,3.12,14.37,autopecas_3_12_14_37,True
85392110,Lâmpadas dicroicas,18.0,9.75,2.1,9.65,18.0,13.0,2.1,10.25,geral_2_10_10_25,True
85392910,"Para iluminação e projeção, de temperatura de cor superior a 3.000°K, exclusivamente para
cinematografia, cinema e atividades semelhantes, em qualquer base",18.0,9.75,2.1,9.65,18.0,0.0,2.1,10.25,geral_2_10_10_25,True
85399090,Outras,12.6,12.6,2.1,9.65,12.6,9.75,2.1,10.25,geral_2_10_10_25,True
85432000,"Geradores de sinais de teste e referência de vídeo nos padrões SDI e HD-SDI, com capacidade de geração de diferentes sinais de teste, dentre eles o color bars e zoneplate",20.0,3.25,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,True
85437099,"Amplificadores seriais digitais para distribuição de sinais de vídeo, com retemporizador",12.6,6.5,2.1,10.25,10.8,0.0,2.1,10.25,geral_2_10_10_25,True
85444200,Munidos de peças de conexão,16.0,5.0,2.1,10.25,16.0,5.0,3.12,14.37,autopecas_3_12_14_37,True
87081000,Para-choques e suas partes,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87082100,Cintos de segurança,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87082919,Outros,12.6,3.25,2.1,9.65,12.6,3.25,3.12,14.37,autopecas_3_12_14_37,True
87082993,Portas,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87082994,Painéis de instrumentos,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87082999,Outros,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87083090,Outros,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87084080,Outras caixas de marchas,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87087090,Outros,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87088000,"Amortecedores de suspensão, exceto os do Ex 01",18.0,3.25,2.1,9.65,18.0,10.4,3.12,14.37,autopecas_3_12_14_37,True
87089100,Radiadores e suas partes,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87089411,Volantes,12.6,2.6,2.1,9.65,12.6,2.6,3.12,14.37,autopecas_3_12_14_37,True
87089490,Partes,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87089990,Outros,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
87120090,Outros,20.0,6.5,2.1,9.65,18.0,6.5,2.1,10.25,geral_2_10_10_25,True
87149910,Câmbio de velocidades,0.0,6.5,2.1,9.65,0.0,6.5,3.12,14.37,autopecas_3_12_14_37,True
90172000,"Outros instrumentos de desenho, de traçado ou de cálculo",16.2,9.75,2.1,9.65,16.2,9.75,2.1,10.25,geral_2_10_10_25,True
90191000,Aparelhos de mecanoterapia; aparelhos de massagem; aparelhos de psicotécnica,20.0,5.2,2.1,9.65,20.0,5.2,2.1,10.25,geral_2_10_10_25,True
90200090,Outros,14.4,5.2,2.1,9.65,14.4,5.2,2.1,10.25,geral_2_10_10_25,True
90261029,Outros,18.0,0.0,2.1,10.25,18.0,0.0,2.1,10.25,geral_2_10_10_25,False
90262090,Outros,18.0,0.0,2.1,10.25,18.0,0.0,3.12,14.37,autopecas_3_12_14_37,True
90269010,De instrumentos e aparelhos para medida ou controle do nível,20.0,3.25,2.1,9.65,16.0,15.0,2.1,10.25,geral_2_10_10_25,True
90299010,De indicadores de velocidade e tacômetros,16.0,9.75,3.12,14.37,16.0,9.75,2.1,10.25,geral_2_10_10_25,True
90303910,De teste de continuidade em circuitos impressos,12.6,3.25,2.1,9.65,12.6,3.25,2.1,10.25,geral_2_10_10_25,True
90321090,Outros,16.2,9.75,2.1,10.25,18.0,9.75,2.1,10.25,geral_2_10_10_25,True
90328921,De sistemas antibloqueantes de freio (travão) (ABS),16.0,9.75,3.12,14.37,16.0,9.75,3.12,14.37,autopecas_3_12_14_37,False
90328923,De sistemas de transmissão,16.0,9.75,3.12,14.37,16.0,9.75,2.1,10.25,geral_2_10_10_25,True
90328925,De sistemas de injeção,16.0,9.75,3.12,14.37,16.0,9.75,2.1,10.25,geral_2_10_10_25,True
90328981,De pressão,12.6,9.75,2.1,10.25,12.6,9.75,2.1,10.25,geral_2_10_10_25,False
90328982,De temperatura,20.0,9.75,2.1,9.65,12.6,9.75,2.1,10.25,geral_2_10_10_25,True
90328983,De umidade,20.0,9.75,2.1,9.65,12.6,9.75,2.1,10.25,geral_2_10_10_25,True
95069900,Outros,18.0,13.0,2.1,9.65,18.0,13.0,2.1,10.25,geral_2_10_10_25,True
96040000,"Peneiras e crivos, manuais",16.2,0.0,2.1,9.65,16.2,0.0,2.1,10.25,geral_2_10_10_25,True
96082000,"Canetas e marcadores, com ponta de feltro ou com outras pontas porosas",16.2,13.0,2.1,9.65,16.2,13.0,2.1,10.25,geral_2_10_10_25,True
