sku,nome,categoria,marca,custo,imposto,preco,descricao,mlb_principal,mlb_ids,qtd_anuncios_mlb,updated_at,sku_key,cg_unnamed: 0,cg_sku,cg_oem,cg_product name,cg_product description,cg_tradução ptbr  ou nome na bling,cg_material,cg_material ptbr,cg_embalagem individual,cg_embalagem individual ptbr,cg_medidas individuas,cg_unnamed: 12,cg_unnamed: 13,cg_m³ individual,cg_peso individual,cg_individual size,cg_para quer serve,cg_onde será ultilizado,cg_finalizade,"cg_país do 
fabricante / produtor","cg_fabricante/produtor 
conhecido",cg_nome (fabricante / produtor),"cg_logradouro 
(fabricante / produtor)","cg_número 
(fabricante / produtor)","cg_cidade 
(fabricante / produtor)","cg_complemento 
(fabricante / produtor)","cg_estado 
(fabricante / produtor)","cg_denominação 
do produto","cg_detalhamento complementar 
do produto",titulos_anuncios_mlb,gtins_mlb,custos_frete_mlb,modalidades_mlb,custo_attr,imposto_attr,foto
198-4,Left rear door outside handle for vehicle,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",45.35,24.0,,"Maçaneta externa da porta traseira esquerda do veículo, Material: Plástico e metal, Dimensões individuais: 25x14x6cm, caixa de papelão",MLB2026790393,MLB2026790393|MLB2026796766,2.0,25/03/2026 12:53,198-4,SKU 198-4,198-4,SKU 198-4,Left rear door outside handle for vehicle,"Left rear door outside handle for vehicle, Material: Plastic and metal, Individual Size 25x14x6CM, cardboard box","Maçaneta externa da porta traseira esquerda do veículo, Material: Plástico e metal, Dimensões individuais: 25x14x6cm, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,25.0,14.0,6.0,0.0021,3,Individual Size 25x14x6CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,maçaneta externa da porta traseira esquerda do veículo,"Maçaneta externa da porta traseira esquerda do veículo, Material: Plástico e metal, Dimensões individuais: 25x14x6cm, caixa de papelão",Maçaneta Externa Para Sorento 2003 A 2009 Traseira Esquerda || Maçaneta Externa Para Sorento Traseira Esquerda Preta 2003/,7895141623644|7895141634749,"R$ 22,55|R$ 24,65",Premium,45.35,24.0,cadastro_fotos/198-4.png
199,Air Control Valve,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",78.3,24.0,,"Válvula de controle de ar, Material: Plástico e metal, caixa de papelão",,,,25/03/2026 12:53,199,SKU 199,199,"2227015010
SKU: 199",Air Control Valve,"Air Control Valve, Material: Plastic and metal, cardboard box","Válvula de controle de ar, Material: Plástico e metal, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Válvula de controle de ar,"Válvula de controle de ar, Material: Plástico e metal, caixa de papelão",,,,,78.3,24.0,cadastro_fotos/199.png
002,Fuel tank cap,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",35.67,24.0,,"Tampa do tanque de combustível, Material: Plástico, Tamanho individual 16x16x2CM, embalagem plástica",MLB1984823376,MLB1984823376|MLB1984832123|MLB2894827496|MLB2894827501|MLB3564167505,5.0,25/03/2026 12:53,2,SKU 002,002,,Fuel tank cap ,"Fuel tank cap , Material : Plastic, Individual Size 16x16x2CM, plastic bag","Tampa do tanque de combustível, Material: Plástico, Tamanho individual 16x16x2CM, embalagem plástica",Material : Plastic,Material: Plástico,plastic bag,saco plástico,16.0,16.0,2.0,0.000512,7,Individual Size 16x16x2CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Tampa do tanque de combustível,"Tampa do tanque de combustível, Material: Plástico, Tamanho individual 16x16x2CM, embalagem plástica",Tampa Portinhola Focus Pintada Branco Ártico 2009 Até 2013 || Tampa Portinhola Tanque Combustivel Ford Focus 2009-2013 || Tampa Portinhola Tanque Focus 2008 2009 2010 2011 2012 2013,1000000261011|7891234000224|7907595070889,"R$ 16,45|R$ 17,65|R$ 19,85",Clássico|Premium,35.67,24.0,cadastro_fotos/002.png
20,Fuel level sensor,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",45.38,24.0,,"Sensor de nível de combustível, Material: Plástico e metal, Tamanho individual 25x7x7CM, caixa de papelão",MLB1984861692,MLB1984861692|MLB2933316403|MLB4333704744,3.0,25/03/2026 12:53,20,SKU 20,20,"7891234000224
SKU:20",Fuel level sensor,"Fuel level sensor,  Material: Plastic and metal, Individual Size 25x7x7CM, cardboard box","Sensor de nível de combustível, Material: Plástico e metal, Tamanho individual 25x7x7CM, caixa de papelão", Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,25.0,7.0,7.0,0.001225,60,Individual Size 25x7x7CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,sensor de nível de combustível,"Sensor de nível de combustível, Material: Plástico e metal, Tamanho individual 25x7x7CM, caixa de papelão",Boia Sensor Nível Combustível Focus 2.0 Duratec 2008 Á 2009 || Boia Sensor Nível Combustível P/ Focus 2.0 Duratec Gas 08/09 || Sensor De Nível Ford Focus 2.0 Duratec 2008/2009 Gasolina,7895139518471|7895139518921,"R$ 22,55|R$ 23,65",Premium,45.38,24.0,cadastro_fotos/20.png
200,LCD display for vehicle instrument panel,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",112.48,24.0,,"Visor LCD para painel de instrumentos de veículos, Material: Plástico, vidro e metal, caixa de papelão",,,,25/03/2026 12:53,200,SKU 200,200,"Lq042t5dz14
SKU:200",LCD display for vehicle instrument panel,"LCD display for vehicle instrument panel,  Material: Plastic glass and metal, cardboard box","Visor LCD para painel de instrumentos de veículos, Material: Plástico, vidro e metal, caixa de papelão", Material: Plastic glass and metal,"Material: Plástico, vidro e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Visor LCD para painel de instrumentos do veículo,"Visor LCD para painel de instrumentos de veículos, Material: Plástico, vidro e metal, caixa de papelão",,,,,112.48,24.0,cadastro_fotos/200.png
203,Vehicle pressure regulating valve,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",211.09,24.0,,"Válvula reguladora de pressão para veículos, Material: Metal e plástico, caixa de papelão",MLB2027888744,MLB2027888744|MLB2997355688,2.0,25/03/2026 12:53,203,SKU 203,203,"A6510740084
SKU:203",Vehicle pressure regulating valve,"Vehicle pressure regulating valve,  Material: Metal and plastic, cardboard box","Válvula reguladora de pressão para veículos, Material: Metal e plástico, caixa de papelão", Material: Metal and plastic,Material: Metal e plástico,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Válvula reguladora de pressão do veículo,"Válvula reguladora de pressão para veículos, Material: Metal e plástico, caixa de papelão",Valvula Reguladora Bomba Hr Kia Bongo Sprinter 9109-946 C/nf || Valvula Reguladora Sprinter 415 515 311 Original A6510740084,789123400224|7895141624689,"R$ 22,55",Clássico|Premium,211.09,24.0,cadastro_fotos/203.png
208,Vehicle engine head side cover,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",81.62,24.0,,"Tampa lateral do cabeçote do motor do veículo, Material: Plástico e borracha, Tamanho individual 27x23x8CM, caixa de papelão",,,,25/03/2026 12:53,208,SKU 208,208,SKU 208,Vehicle engine head side cover,"Vehicle engine head side cover,  Material: Plastic and rubber, Individual Size 27x23x8CM, cardboard box","Tampa lateral do cabeçote do motor do veículo, Material: Plástico e borracha, Tamanho individual 27x23x8CM, caixa de papelão", Material: Plastic and rubber,Material: Plástico e borracha,cardboard box,caixa de papelão,27.0,23.0,8.0,0.004968,585,Individual Size 27x23x8CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,tampa lateral do cabeçote do motor do veículo,"Tampa lateral do cabeçote do motor do veículo, Material: Plástico e borracha, Tamanho individual 27x23x8CM, caixa de papelão",,,,,81.62,24.0,cadastro_fotos/208.png
21,,,,11.24,24.0,,,,,,25/03/2026 12:53,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.24,24.0,
210,Car Transmitter Receiver with Bluetooth FM Mp3 USB Pendrive,Adaptador veícular AM/FM ,"Tianmen Fengcheng Trading Co. Ltd.
",12.76,24.0,,"Transmissor e receptor para carro com Bluetooth, FM, MP3, USB e pendrive. Material: Plástico e metal. Embalagem em caixa de papelão.",,,,25/03/2026 12:53,210,SKU 210,210,SKU 210,Car Transmitter Receiver with Bluetooth FM Mp3 USB Pendrive,"Car Transmitter Receiver with Bluetooth FM Mp3 USB Pendrive, Material: Plastic and metal, cardboard box","Transmissor e receptor para carro com Bluetooth, FM, MP3, USB e pendrive. Material: Plástico e metal. Embalagem em caixa de papelão.",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Adaptador veícular AM/FM ,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,"Transmissor e receptor para carro com Bluetooth, FM, MP3 e USB.","Transmissor e receptor para carro com Bluetooth, FM, MP3, USB e pendrive. Material: Plástico e metal. Embalagem em caixa de papelão.",,,,,12.76,24.0,cadastro_fotos/210.png
214,"Ignition Switch
Cardboard box",Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",20.3,24.0,,"Interruptor de Ignição
Caixa de papelão, Material: Plástico e metal, Tamanho individual 6,5x4x3,5CM, caixa de papelão",,,,25/03/2026 12:53,214,SKU 214,214,"SL-DHKG001
SKU:214","Ignition Switch
Cardboard box","Ignition Switch
Cardboard box, Material: Plastic and metal, Individual Size 6,5x4x3,5CM, cardboard box","Interruptor de Ignição
Caixa de papelão, Material: Plástico e metal, Tamanho individual 6,5x4x3,5CM, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,6.5,4.0,3.5,9.1e-05,,"Individual Size 6,5x4x3,5CM",Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,"Interruptor de ignição
Caixa de papelão","Interruptor de Ignição
Caixa de papelão, Material: Plástico e metal, Tamanho individual 6,5x4x3,5CM, caixa de papelão",,,,,20.3,24.0,cadastro_fotos/214.png
218,Digital laser level and square meter,Medidor de nivel para construção em geral,"Tianmen Fengcheng Trading Co. Ltd.
",33.47,24.0,,"Nível a laser digital e medidor de esquadro, Material: Plástico e metal, caixa de papelão",,,,25/03/2026 12:53,218,SKU 218,218,SKU 218,Digital laser level and square meter,"Digital laser level and square meter, Material: Plastic and metal, cardboard box","Nível a laser digital e medidor de esquadro, Material: Plástico e metal, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Medidor de nivel para construção em geral,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Nível a laser digital e medidor quadrado,"Nível a laser digital e medidor de esquadro, Material: Plástico e metal, caixa de papelão",,,,,33.47,24.0,cadastro_fotos/218.png
219-K4,Spark Plug Kit SILZKR7B11,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",59.24,24.0,,"Kit de velas de ignição SILZKR7B11, Material: Metal, caixa de papelão",,,,25/03/2026 12:53,219-K4,SKU 219-K4,219-K4,SKU 219-K4,Spark Plug Kit SILZKR7B11,"Spark Plug Kit SILZKR7B11,  Material: Metal, cardboard box","Kit de velas de ignição SILZKR7B11, Material: Metal, caixa de papelão", Material: Metal,Material: Metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Construção em geral,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Kit de velas de ignição SILZKR7B11,"Kit de velas de ignição SILZKR7B11, Material: Metal, caixa de papelão",,,,,59.24,24.0,cadastro_fotos/219-K4.png
219-K6,,,,60.36,24.0,,,,,,25/03/2026 12:53,219-K6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.36,24.0,
220,,,,20.64,24.0,,,,,,25/03/2026 12:53,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.64,24.0,
220-K6,Spark Plug Kit ILFR5B11,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",123.84,24.0,,"Kit de velas de ignição ILFR5B11, Material: Metal, caixa de papelão",,,,25/03/2026 12:53,220-K6,SKU 220-K6,220-K6,SKU 220-K6,Spark Plug Kit ILFR5B11,"Spark Plug Kit ILFR5B11,  Material: Metal, cardboard box","Kit de velas de ignição ILFR5B11, Material: Metal, caixa de papelão", Material: Metal,Material: Metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Kit de velas de ignição ILFR5B11,"Kit de velas de ignição ILFR5B11, Material: Metal, caixa de papelão",,,,,123.84,24.0,cadastro_fotos/220-K6.png
221,LED flashlight board,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",19.05,24.0,,"Placa de LED para lanterna, Material: Plástico e metal, Tamanho individual 5x2x1CM, caixa de papelão",MLB2027931977,MLB2027931977|MLB4433320474,2.0,25/03/2026 12:53,221,SKU 221,221,SKU 221,LED flashlight board,"LED flashlight board, Material: Plastic and metal, Individual Size 5x2x1CM, cardboard box","Placa de LED para lanterna, Material: Plástico e metal, Tamanho individual 5x2x1CM, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,5.0,2.0,1.0,1e-05,,Individual Size 5x2x1CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,placa de lanterna LED,"Placa de LED para lanterna, Material: Plástico e metal, Tamanho individual 5x2x1CM, caixa de papelão",Placa Lanterna Led Bmw X3 Queimada 2012 2013 2014 2015 2016 || Placa Lanterna Traseira Bmw X3 2010 2011 2012 2013 Á 2017,7895141629424|7895141634848,"R$ 16,45|R$ 18,45",Clássico|Premium,19.05,24.0,cadastro_fotos/221.png
222-1,Vehicle rear view warning light,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",37.26,24.0,,"Luz de advertência traseira para veículo, Material: Plástico, Tamanho individual 24x5x5CM, caixa de papelão",MLB2121724318,MLB2121724318|MLB3277994325|MLB3419452288,3.0,25/03/2026 12:53,222-1,SKU 222-1,222-1,SKU 222-1,Vehicle rear view warning light,"Vehicle rear view warning light, Material: Plastic, Individual Size 24x5x5CM, cardboard box","Luz de advertência traseira para veículo, Material: Plástico, Tamanho individual 24x5x5CM, caixa de papelão",Material: Plastic,Material: Plástico,cardboard box,caixa de papelão,24.0,5.0,5.0,0.0006,,Individual Size 24x5x5CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,luz de advertência traseira do veículo,"Luz de advertência traseira para veículo, Material: Plástico, Tamanho individual 24x5x5CM, caixa de papelão",Pisca Retrovisor Hyundai Sonata L Direito Importado Novo Cinza || Pisca Retrovisor Hyundai Sonata Lado Direito Importado Novo Cinza || Pisca Seta Retrovisor Sonata Lado Direito Carona Original Es Cinza,7895139518662,"R$ 16,45|R$ 20,95|R$ 22,55",Clássico|Premium,37.26,24.0,cadastro_fotos/222-1.png
222-2,Vehicle rear view warning light,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",37.26,24.0,,"Luz de advertência traseira para veículo, Material: Plástico, Tamanho individual 24x5x5CM, caixa de papelão",MLB2121738095,MLB2121738095|MLB4512661002|MLB4670241206|MLB4670292924|MLB4670396294,5.0,25/03/2026 12:53,222-2,SKU 222-2,222-2,SKU 222-2,Vehicle rear view warning light,"Vehicle rear view warning light, Material: Plastic, Individual Size 24x5x5CM, cardboard box","Luz de advertência traseira para veículo, Material: Plástico, Tamanho individual 24x5x5CM, caixa de papelão",Material: Plastic,Material: Plástico,cardboard box,caixa de papelão,24.0,5.0,5.0,0.0006,,Individual Size 24x5x5CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,luz de advertência traseira do veículo,"Luz de advertência traseira para veículo, Material: Plástico, Tamanho individual 24x5x5CM, caixa de papelão",Pisca Retrovisor Hyundai Sonata L Esquerdo Importado Novo Laranja || Pisca Retrovisor Lado Esquerdo Sonata 2011 2012 2013 2014  Cinza || Pisca Retrovisor Lado Esquerdo Sonata 2011 2012 2013 2014 15 || Pisca Seta Retrovisor P/ Hyundai Ix35 2010 2011 2012 2013 14 Cromado || Pisca Seta Retrovisor Sonata 2011 2012 2013 2014 Unidade Laranja,7895141625709|7895141638914|7895141640634|7895141640641,"R$ 17,65|R$ 19,85",Clássico|Premium,37.26,24.0,cadastro_fotos/222-2.png
222-K,Pair of rear warning lights for the vehicle,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",74.45,24.0,,Conjunto de duas luzes de advertência traseiras para o veículo. Material: Plástico. Dimensões individuais: 24x10x10cm. Embalagem: Caixa de papelão.,MLB2121744443,MLB2121744443,1.0,25/03/2026 12:53,222-K,SKU 222-K,222-K,SKU 222-K,Pair of rear warning lights for the vehicle,"Pair of rear warning lights for the vehicle, Material: Plastic, Individual Size 24x10x10CM, cardboard box",Conjunto de duas luzes de advertência traseiras para o veículo. Material: Plástico. Dimensões individuais: 24x10x10cm. Embalagem: Caixa de papelão.,Material: Plastic,Material: Plástico,cardboard box,caixa de papelão,24.0,10.0,10.0,0.0024,,Individual Size 24x10x10CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Par de luzes de advertência traseiras para o veículo,Conjunto de duas luzes de advertência traseiras para o veículo. Material: Plástico. Dimensões individuais: 24x10x10cm. Embalagem: Caixa de papelão.,Par Pisca Seta Retrovisor Hyundai Sonata 11 2012 13 14 15 16 Cinza,7895141628502,"R$ 23,65",Clássico,74.45,24.0,cadastro_fotos/222-K.png
223,Vehicle fuel level sensor,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",43.82,24.0,,"Sensor de nível de combustível do veículo, Material: Plástico ABS e metal, Tamanho individual 25x6x6CM, caixa de papelão",MLB2041051833,MLB2041051833|MLB4356513338|MLB5799633986|MLB5799754520,4.0,25/03/2026 12:53,223,SKU 223,223,"944602S000
SKU:223",Vehicle fuel level sensor,"Vehicle fuel level sensor, Material: Plastic ABS and metal, Individual Size 25x6x6CM, cardboard box","Sensor de nível de combustível do veículo, Material: Plástico ABS e metal, Tamanho individual 25x6x6CM, caixa de papelão",Material: Plastic ABS and metal,Material: Plástico ABS e metal,cardboard box,caixa de papelão,25.0,6.0,6.0,0.0009,4,Individual Size 25x6x6CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,sensor de nível de combustível do veículo,"Sensor de nível de combustível do veículo, Material: Plástico ABS e metal, Tamanho individual 25x6x6CM, caixa de papelão",Boia Sensor De Nível Combustível Sportage 2.0 16v Gasolina || Boia Sensor Nivel Combustível Para Ix35 Nova || Sensor Combustível Nível Boia Ix35 Gasolina 2010/ Sportage || Sensor Nível Boia Combustível Ix35 Gasolina 2010/ Sportage,7895141624733,"R$ 22,55",Premium,43.82,24.0,cadastro_fotos/223.png
225,Canister valve 0280142431,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",30.28,24.0,,"Válvula de cartucho 0280142431, Material: Plástico e metal, Tamanho individual 9,5x5x5CM, caixa de papelão",,,,25/03/2026 12:53,225,SKU 225,225,SKU 225,Canister valve 0280142431,"Canister valve 0280142431, Material: Plastic and metal, Individual Size 9,5x5x5CM, cardboard box","Válvula de cartucho 0280142431, Material: Plástico e metal, Tamanho individual 9,5x5x5CM, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,9.5,5.0,5.0,0.0002375,75,"Individual Size 9,5x5x5CM",Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Válvula do cartucho 0280142431,"Válvula de cartucho 0280142431, Material: Plástico e metal, Tamanho individual 9,5x5x5CM, caixa de papelão",,,,,30.28,24.0,cadastro_fotos/225.png
227-1,Button and spring for gear lever for automatic vehicle,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",14.8,24.0,,"Botão e mola para alavanca de câmbio de veículo automático, Material: Plástico e metal, caixa de papelão",-,-,1.0,25/03/2026 12:53,227-1,SKU 227-1,227-1,SKU 227-1,Button and spring for gear lever for automatic vehicle,"Button and spring for gear lever for automatic vehicle, Material: Plastic and metal, cardboard box","Botão e mola para alavanca de câmbio de veículo automático, Material: Plástico e metal, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Botão e mola para alavanca de câmbio de veículo automático,"Botão e mola para alavanca de câmbio de veículo automático, Material: Plástico e metal, caixa de papelão",-,"7895141625983|7895141625983,7895141625976|7895141626751",-,-,14.8,24.0,cadastro_fotos/227-1.png
227-2,Button and spring for gear lever for automatic vehicle,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",21.96,24.0,,"Botão e mola para alavanca de câmbio de veículo automático, Material: Plástico e metal, caixa de papelão",-,-,1.0,25/03/2026 12:53,227-2,SKU 227-2,227-2,SKU 227-2,Button and spring for gear lever for automatic vehicle,"Button and spring for gear lever for automatic vehicle, Material: Plastic and metal, cardboard box","Botão e mola para alavanca de câmbio de veículo automático, Material: Plástico e metal, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Botão e mola para alavanca de câmbio de veículo automático,"Botão e mola para alavanca de câmbio de veículo automático, Material: Plástico e metal, caixa de papelão",-,"7895141625976|7895141625976,7895141625983",-,-,21.96,24.0,cadastro_fotos/227-2.png
228,Motorcycle LED Signal Strip,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",5.3,24.0,,"Faixa de sinalização LED para motocicleta, Material: Plástico e metal, caixa de papelão",MLB2028235586,MLB2028235586|MLB2950828149|MLB3564109883|MLB4356852352,4.0,25/03/2026 12:53,228,SKU 228,228,SKU 228,Motorcycle LED Signal Strip,"Motorcycle LED Signal Strip, Material: Plastic and metal, cardboard box","Faixa de sinalização LED para motocicleta, Material: Plástico e metal, caixa de papelão",Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Faixa de sinalização LED para motocicleta,"Faixa de sinalização LED para motocicleta, Material: Plástico e metal, caixa de papelão",Farol Lanterna Fita Led Traseira Pisca Moto Custom Harley || Lanterna 48 Led Fita Flexível Moto Pisca Luz Freio Custom || Lanterna De Freio E Pisca Moto Custom Cafe Racer Fita 48 Led Vermelho || Pisca 48 Led Fita Flexível Seta Lanterna Freio Moto Custom L Vermelho,789123400224|7895141622661|7895141634879,"R$ 6,55|R$ 6,75|R$ 6,85",Clássico,5.3,24.0,cadastro_fotos/228.png
